artist_name,album_name,track_name,track_uri,track_key,in_library
Zoe Clark,Not to be Dramatic,Not to be Dramatic,spotify:track:5DfMuKnKjSCBJDL3CbRAet,zoe clark - not to be dramatic,True
Rumi,KPop Demon Hunters,Free,spotify:track:5DxDLsW6PsLz5gkwC7Mk5S,rumi - free,True
yuji,Old Love,Old Love,spotify:track:3W4U7TEgILGpq0EmquurtH,yuji - old love,True
Khim,10s,10s,spotify:track:1UmjJwP1jpPWmDfR2Tebvn,khim - 10s,True
Wale,The Gifted,Bad (feat. Rihanna) - Remix,spotify:track:5yhKaacMZGRo4s6evJx9vk,wale - bad (feat. rihanna) - remix,True
5Star,Cmonnn (Hit It One Time),Cmonnn (Hit It One Time) (Pt. 2) (feat. Lay Bankz),spotify:track:04KXmuiwhHwhcOUPy8Jcuw,5star - cmonnn (hit it one time) (pt. 2) (feat. lay bankz),True
ENHYPEN,MANIFESTO : DAY 1,SHOUT OUT,spotify:track:5Z2DNRAhs6r4VdINVkRhYY,enhypen - shout out,True
Bruno Mars,Músicas de Inverno para Lojas e Cafés,Risk It All,spotify:track:3JYqIxm6NGX2vNVS78ORTe,bruno mars - risk it all,True
Megan Thee Stallion,MEGAN,Mamushi (feat. Yuki Chiba),spotify:track:5b3XJ1pjrHO5JtY2PcTjnI,megan thee stallion - mamushi (feat. yuki chiba),True
Fly Boi Keno,Kicking Flavors Kemix,Kicking Flavors Kemix,spotify:track:2lAfE8RIgRvEcaTJU1xv7O,fly boi keno - kicking flavors kemix,True
Justin Bieber,Journals,Confident,spotify:track:3JsydWaf2Ev4ehaLUjj3SY,justin bieber - confident,True
千葉雄喜,アニョハセヨ,アニョハセヨ - 4SHO Remix,spotify:track:7MQGL26kgIW5IDJ2iElJ35,千葉雄喜 - アニョハセヨ - 4sho remix,True
ROSÉ,rosie,toxic till the end,spotify:track:1z5ebC9238uGoBgzYyvGpQ,rosé - toxic till the end,True
Daniel Di Angelo,No Friendship,No Friendship,spotify:track:3BmVELHoqjF7s3px9rW6WN,daniel di angelo - no friendship,True
Bruno Mars,Doo-Wops & Hooligans,The Lazy Song,spotify:track:1885Drg56gPph60AxaFgaD,bruno mars - the lazy song,True
Ariana Grande,My Everything,Problem,spotify:track:7vS3Y0IKjde7Xg85LWIEdP,ariana grande - problem,True
StarBoi3,Dick (feat. Doja Cat),Dick (feat. Doja Cat),spotify:track:3nY8AqaMNNHHLYV4380ol0,starboi3 - dick (feat. doja cat),True
Ariana Grande,Dangerous Woman,Into You,spotify:track:76FZM38RC8XaAjJ77CVTNe,ariana grande - into you,True
James Arthur,Back from the Edge,Can I Be Him,spotify:track:0VhgEqMTNZwYL1ARDLLNCX,james arthur - can i be him,True
Flavour,Uplifted,Ashawo - Remix,spotify:track:32PR34BBmnCpkQfShgcbGQ,flavour - ashawo - remix,True
Bruno Mars,The Romantic,God Was Showing Off,spotify:track:1sVBT215CDmVJvfy1E2OCU,bruno mars - god was showing off,True
Diamond Platnumz,Natulizana,Natulizana,spotify:track:5JVCPxHDsOBbTn9lw0yhP1,diamond platnumz - natulizana,True
Lay Bankz,Tell Ur Girlfriend,Tell Ur Girlfriend,spotify:track:3lMzT16MjAKKXF7pSZn13B,lay bankz - tell ur girlfriend,True
Calvin Harris,Funk Wav Bounces Vol.1,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",spotify:track:5bcTCxgc7xVfSaMV3RuVke,"calvin harris - feels (feat. pharrell williams, katy perry & big sean)",True
Ariana Grande,My Everything,One Last Time,spotify:track:7xoUc6faLbCqZO6fQEYprd,ariana grande - one last time,True
DJ Khaled,Grateful,Wild Thoughts (feat. Rihanna & Bryson Tiller),spotify:track:1OAh8uOEOvTDqkKFsKksCi,dj khaled - wild thoughts (feat. rihanna & bryson tiller),True
Ariana Grande,Positions,safety net (feat. Ty Dolla $ign),spotify:track:14gkWVFMwdxBMyqBw1wmIg,ariana grande - safety net (feat. ty dolla $ign),True
Naïka,TRANSITIONS EP,bb.,spotify:track:2ekwTudJEBmmscSwfCha2K,naïka - bb.,True
So Supa,Supa vs Sligga,Don’t hide,spotify:track:6yJIO8264hq1hCbBLU0C0X,so supa - don’t hide,True
Chege,Runtown,Waache Waoane,spotify:track:2W3K5I6IwIpPmq1Rk6vcjS,chege - waache waoane,True
Ariana Grande,Play Christmas Music,Santa Tell Me,spotify:track:0Tq23DcxKDVRojIU8Nq1r8,ariana grande - santa tell me,True
Ne-Yo,In My Own Words,So Sick,spotify:track:6brl7bwOHmGFkNw3MBqssT,ne-yo - so sick,True
No Guidnce,Around Me,Around Me,spotify:track:1YEVx89VQ53Lj96DuDs6Et,no guidnce - around me,True
Rayvanny,Unaibiwa,Unaibiwa,spotify:track:3al8Casek52jogF3dkwmQR,rayvanny - unaibiwa,True
Masego,Lady Lady,Tadow,spotify:track:6FMMd1fixOMmhplCevpjL7,masego - tadow,True
Sabrina Carpenter,Short n' Sweet,Taste,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,sabrina carpenter - taste,True
Miguel,All I Want Is You,Sure Thing,spotify:track:0JXXNGljqupsJaZsgSbMZV,miguel - sure thing,True
Lights,Skin & Earth,We Were Here - Chase Atlantic Remix,spotify:track:2UrPQWLZva5igNLHD0YMV9,lights - we were here - chase atlantic remix,True
Yung Filly,Grey,Grey,spotify:track:4Fuf1v4kPQ6RIvEGlUfvaq,yung filly - grey,True
Rayvanny,Chuchumaa,Chuchumaa,spotify:track:16lNipaSTZMiLIkIBYFU9D,rayvanny - chuchumaa,True
