playlist_name,playlist_last_modified,added_date,track_name,artist_name,album_name,track_uri,track_key
Sensual,2026-06-20,2026-06-20,SHOOK,H33RA,SHOOK,spotify:track:0wdSmyHGxoNaJmLENqcaUj,h33ra - shook
Sensual,2026-06-20,2026-06-20,Best Mistake,Ariana Grande,My Everything,spotify:track:3uDFCbWt1T19sz8zhBuaUc,ariana grande - best mistake
Sensual,2026-06-20,2026-06-20,Sex Talk,D4M $loan,I Couldn't Decide,spotify:track:0X2eq8W4o9qLoOAMil6Hce,d4m $loan - sex talk
Sensual,2026-06-20,2026-06-20,Avenue,H.E.R.,H.E.R. Volume 2,spotify:track:3qSH4NSYYOMkFTGwvGA91x,h.e.r. - avenue
Sensual,2026-06-20,2026-06-20,safety net (feat. Ty Dolla $ign),Ariana Grande,Positions,spotify:track:14gkWVFMwdxBMyqBw1wmIg,ariana grande - safety net (feat. ty dolla $ign)
Sensual,2026-06-20,2026-06-20,INVITATION (Feat. Gaeko),JUNNY,INVITATION (Feat. Gaeko),spotify:track:3ISOK4T54v6O1g1AB8FiEK,junny - invitation (feat. gaeko)
Sensual,2026-06-20,2026-06-20,back of the club,kwn,with all due respect,spotify:track:6svat6LhQXRAnALB7CkUg5,kwn - back of the club
Sensual,2026-06-20,2026-06-20,Sex With Me,Rihanna,ANTI,spotify:track:7BiELrM90hRxpozaIXbsLw,rihanna - sex with me
Sensual,2026-06-20,2026-06-20,Slow Down,Chase Atlantic,Paradise - EP,spotify:track:2VyaGJJI8dOiv36F8vHZIL,chase atlantic - slow down
Sensual,2026-06-20,2026-06-20,Love Me Back (Fayahh Beat),Trinidad Cardona,Love Me Back (Fayahh Beat),spotify:track:5ZF6l3xKi3m6YK2dDXAsR5,trinidad cardona - love me back (fayahh beat)
Sensual,2026-06-20,2026-06-20,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),spotify:track:12VH4g5pTMZmrUVzfJq7F7,partynextdoor - m a k e i t t o t h e m o r n i n g
Sensual,2026-06-20,2026-06-20,Girl You Loud,Chris Brown,Fan of A Fan The Album (Expanded Edition),spotify:track:6dRVOzSxLqRdqUjc9mctGg,chris brown - girl you loud
Sensual,2026-06-20,2026-06-20,Let Me Love You,Mario,Let Me Love You,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,mario - let me love you
Sensual,2026-06-20,2026-06-20,safety net (feat. Ty Dolla $ign),Ariana Grande,Positions,spotify:track:6IHDsLAPM17ZS5uIe3P3He,ariana grande - safety net (feat. ty dolla $ign)
Sensual,2026-06-20,2026-06-20,Loveeeeeee Song,Rihanna,Unapologetic,spotify:track:5Mk1tgVrSuoWWwPVFNS0jB,rihanna - loveeeeeee song
Sensual,2026-06-20,2026-06-20,Dreamin,PARTYNEXTDOOR,Dreamin,spotify:track:35sZOqVnTQNIGWGURrFdLh,partynextdoor - dreamin
Sensual,2026-06-20,2026-06-20,N o C h i l l,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),spotify:track:1zhMHgotgZXkLCXpqNRnPK,partynextdoor - n o c h i l l
Sensual,2026-06-20,2026-06-20,FIGURED YOU OUT,Devkota,FIGURED YOU OUT,spotify:track:3WQBER5AAfw8sMrQczAw95,devkota - figured you out
Sensual,2026-06-20,2026-06-20,F o r C e r t a i n,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),spotify:track:2d93r7U06Wx7uJfU2q9Nza,partynextdoor - f o r c e r t a i n
Sensual,2026-06-20,2026-06-20,needy,Ariana Grande,"thank u, next",spotify:track:1TEL6MlSSVLSdhOSddidlJ,ariana grande - needy
Sensual,2026-06-20,2026-06-20,Tadow,Masego,Lady Lady,spotify:track:6FMMd1fixOMmhplCevpjL7,masego - tadow
Sensual,2026-06-20,2026-06-20,Leave The Door Open,Bruno Mars,An Evening With Silk Sonic,spotify:track:02VBYrHfVwfEWXk5DXyf0T,bruno mars - leave the door open
Sensual,2026-06-20,2026-06-20,Been Like This,Doja Cat,Planet Her,spotify:track:3DyKJT2ADGzZQBhtSy19VY,doja cat - been like this
Sensual,2026-06-20,2026-06-20,Beautiful (feat. Camila Cabello),Bazzi,Beautiful (feat. Camila Cabello),spotify:track:4VUwkH455At9kENOfzTqmF,bazzi - beautiful (feat. camila cabello)
Sensual,2026-06-20,2026-06-20,WRONG,Chris Grey,FUNHOUSE / WRONG,spotify:track:3htoQPC7v5x04gWCQz1y2S,chris grey - wrong
Sensual,2026-06-20,2026-06-20,10s,Khim,10s,spotify:track:1UmjJwP1jpPWmDfR2Tebvn,khim - 10s
Sensual,2026-06-20,2026-06-20,Please Me,Cardi B,AM I THE DRAMA?,spotify:track:1Ydy1j4ooUkDvQYSvwxjoy,cardi b - please me
Sensual,2026-06-20,2026-06-20,You,Lloyd,Street Love,spotify:track:5Y77SQxEr1eiofPeUTPHxM,lloyd - you
Sensual,2026-06-20,2026-06-20,You Got It,Vedo,For You,spotify:track:4lsHZ92XCFOQfzJFBTluk8,vedo - you got it
