track_key,artist_name,track_name,play_count,total_minutes_played,first_played,last_played,playlist_count,playlists,in_library
(((()))) - novacane - 8d audio,(((()))),Novacane - 8D Audio,2,1.0639166666666666,2026-01-12 05:25:00,2026-02-11 08:05:00,0,Not in any playlist,True
03’babyshay - dreamz & nightmarez - wthelly?,03’BabyShay,Dreamz & NightMarez - Wthelly?,1,0.03216666666666667,2026-04-23 20:13:00,2026-04-23 20:13:00,0,Not in any playlist,False
5 seconds of summer - youngblood,5 Seconds of Summer,Youngblood,9,30.512616666666666,2025-07-21 07:39:00,2026-02-13 16:09:00,1,Life,True
50 cent - baby by me,50 Cent,Baby By Me,7,16.763716666666667,2026-03-13 05:50:00,2026-06-16 11:15:00,1,R&B,True
50 cent - just a lil bit,50 Cent,Just A Lil Bit,7,8.8139,2026-03-13 05:56:00,2026-06-16 12:16:00,1,"Volume up ,logic down",False
528hz open heart chakra - life loves me﻿ - crown chakra - spirituality,528Hz Open Heart Chakra,Life Loves Me﻿ - Crown Chakra - Spirituality,3,24.50985,2026-04-19 01:19:00,2026-04-25 05:53:00,0,Not in any playlist,False
528hz release inner conflict & struggle - heal old negative energy,528Hz Release Inner Conflict & Struggle,Heal Old Negative Energy,3,74.12738333333334,2026-04-19 05:32:00,2026-04-25 03:22:00,0,Not in any playlist,False
5star - cmonnn (hit it one time) (pt. 2) (feat. lay bankz),5Star,Cmonnn (Hit It One Time) (Pt. 2) (feat. Lay Bankz),10,22.8523,2026-03-27 07:12:00,2026-06-09 14:22:00,3,"Dance away, Life, Volume up ,logic down",True
5star - cmonnn (hit it one time)(feat. lay bankz),5Star,Cmonnn (Hit It One Time)(feat. Lay Bankz),1,0.14085,2026-04-23 20:15:00,2026-04-23 20:15:00,0,Not in any playlist,False
6lack - temporary (feat. don toliver),6LACK,Temporary (feat. Don Toliver),1,2.9722166666666667,2025-12-05 07:17:00,2025-12-05 07:17:00,0,Not in any playlist,False
741hz energy orbiting manifest healing - cleanse aura (orbital manifest healing),741Hz Energy Orbiting Manifest Healing,Cleanse Aura (Orbital Manifest Healing),3,31.098933333333335,2026-04-19 02:56:00,2026-04-25 02:20:00,0,Not in any playlist,False
`ёarly - hoes be shoutin',`ёarly,HOES BE SHOUTIN',1,0.03626666666666667,2026-04-23 20:13:00,2026-04-23 20:13:00,0,Not in any playlist,False
aaryan shah - renegade,Aaryan Shah,Renegade,9,18.2809,2025-09-08 19:21:00,2026-06-18 11:51:00,2,"1 A.M, ❤️😍",False
abba - slipping through my fingers,ABBA,Slipping Through My Fingers,1,0.028983333333333333,2026-03-27 07:19:00,2026-03-27 07:19:00,0,Not in any playlist,False
abigail chams - me too,Abigail Chams,Me too,9,18.864066666666666,2025-07-09 21:45:00,2026-05-25 09:30:00,1,Kenyan tunes,False
abigail chams - nani?,Abigail Chams,Nani?,1,0.03206666666666667,2025-12-05 17:31:00,2025-12-05 17:31:00,0,Not in any playlist,False
addison rae - diet pepsi,Addison Rae,Diet Pepsi,1,0.13561666666666666,2026-05-02 06:51:00,2026-05-02 06:51:00,0,Not in any playlist,False
addison rae - obsessed,Addison Rae,Obsessed,1,2.234783333333333,2026-05-23 08:13:00,2026-05-23 08:13:00,0,Not in any playlist,False
adele - chasing pavements,Adele,Chasing Pavements,1,0.00165,2026-03-24 10:24:00,2026-03-24 10:24:00,0,Not in any playlist,False
adele - easy on me,,,0,0.0,,,1,KIARA,False
adele - love in the dark,Adele,Love In The Dark,1,0.01085,2026-03-24 10:24:00,2026-03-24 10:24:00,0,Not in any playlist,False
aespa - black mamba,aespa,Black Mamba,1,0.11735,2026-02-10 19:27:00,2026-02-10 19:27:00,1,Kpop,False
aespa - drama,,,0,0.0,,,1,Kpop,False
aespa - illusion,aespa,Illusion,2,6.501766666666667,2026-02-13 19:19:00,2026-02-14 05:44:00,1,Kpop,False
aespa - next level,,,0,0.0,,,1,Kpop,False
aespa - savage,aespa,Savage,1,0.13636666666666666,2026-03-02 15:28:00,2026-03-02 15:28:00,1,Kpop,False
